Iteration,Surface Average 1 Monitor: Surface Average of Static Pressure (Pa)
2839,3678.061035
2842,3674.980225
2844,3671.082031
2846,3666.401123
2848,3660.635742
2850,3653.567871
2852,3647.088623
2854,3641.31665
2857,3632.810547
2859,3627.740967
2861,3622.044678
2863,3613.984375
2865,3603.388672
2867,3588.690186
2869,3569.696289
2872,3537.530762
2874,3513.029297
2876,3490.147461
2878,3465.392334
2880,3439.046631
2882,3411.533691
2885,3363.277832
2887,3332.527588
2889,3300.763184
2891,3265.404297
2893,3228.837158
2895,3187.907715
2897,3150.183838
2900,3101.279297
2902,3058.926025
2904,3026.029297
2906,2994.97168
2908,2963.014648
2910,2935.227783
2912,2911.287598
2915,2886.79248
2917,2870.416504
2919,2848.570801
2921,2823.393555
2923,2797.672363
2925,2773.24585
2928,2745.157471
2930,2734.53125
2932,2727.085449
2934,2723.062256
2936,2719.871338
2938,2714.549316
2940,2708.403076
2943,2697.810059
2945,2690.074219
2947,2681.863281
2949,2673.419189
2951,2663.85376
2953,2655.041504
2955,2647.739746
2958,2643.521484
2960,2643.677734
2962,2646.32251
2964,2650.217773
2966,2657.491699
2968,2664.650391
2970,2671.824951
2973,2680.776123
2975,2686.007813
2977,2690.308838
2979,2695.045898
2981,2698.851318
2983,2701.807617
2986,2706.143799
2988,2708.898926
2990,2712.473389
2992,2716.2229
2994,2721.567627
2996,2728.282715
2998,2735.909424
3001,2752.138184
3003,2765.188232
3005,2781.003662
3007,2799.500488
3009,2815.87793
3011,2834.082764
3013,2854.238281
3016,2890.389893
3018,2913.519775
3020,2938.256348
3022,2961.266113
3024,2987.640625
3026,3017.918213
3029,3060.153564
3031,3088.80835
3033,3118.313477
3035,3146.631104
3037,3177.958008
3039,3207.510986
3041,3235.278076
3044,3276.784912
3046,3305.202393
3048,3335.027344
3050,3364.721436
3052,3394.899414
3054,3426.949219
3056,3459.900146
3059,3513.101807
3061,3547.552246
3063,3577.818604
3065,3604.505127
3067,3627.342285
3069,3646.2771
3071,3662.15625
3074,3676.441895
3076,3679.762451
3078,3678.42749
3080,3673.21875
3082,3665.011963
3084,3651.870605
3087,3626.360107
3089,3604.993896
3091,3581.285889
3093,3555.608643
3095,3528.380615
3097,3501.060059
3099,3474.71582
3102,3432.383789
3104,3408.166748
3106,3385.314941
3108,3363.294189
3110,3345.140869
3112,3328.871338
3114,3316.428711
3117,3307.078857
3119,3306.804688
3121,3307.884521
3123,3306.139893
3125,3305.265381
3127,3301.635986
3130,3290.625
3132,3281.871826
3134,3273.602539
3136,3266.020508
3138,3261.25708
3140,3257.142578
3142,3254.677002
3145,3254.178223
3147,3254.558594
3149,3256.532227
3151,3261.702881
3153,3270.380859
3155,3274.99707
3157,3279.676514
3160,3292.687256
3162,3295.643066
3164,3298.572998
3166,3301.772461
3168,3301.674805
3170,3302.946777
3173,3296.281982
3175,3291.789551
3177,3284.533691
3179,3276.354004
3181,3264.949951
3183,3250.489502
3185,3235.541504
3188,3208.462646
3190,3188.976074
3192,3167.077393
3194,3143.519531
3196,3119.572021
3198,3094.702881
3200,3070.272217
3203,3036.575684
3205,3015.700928
3207,2995.800781
3209,2978.576172
3211,2963.758301
3213,2948.942139
3215,2936.743408
3218,2920.105469
3220,2910.019287
3222,2901.47168
3224,2894.746582
3226,2889.965576
3228,2887.362793
3231,2886.893311
3233,2889.126221
3235,2892.077393
3237,2896.432373
3239,2902.821045
3241,2910.561279
3243,2919.839355
3246,2935.300537
3248,2945.877441
3250,2956.581055
3252,2967.348145
3254,2975.278809
3256,2983.731934
3258,2990.843994
3261,2999.332764
3263,3003.599121
3265,3006.862549
3267,3008.994385
3269,3010.077637
3271,3009.207031
3274,3008.203125
3276,3005.515869
3278,3005.155762
3280,3005.121582
3282,3008.293945
3284,3012.947998
3286,3020.304443
3289,3035.557129
3291,3050.846191
3293,3068.664307
3295,3087.767822
3297,3109.472412
3299,3130.877686
3301,3153.498291
3304,3186.463867
3306,3203.433594
3308,3218.353027
3310,3232.148193
3312,3241.493164
3314,3248.030029
3316,3253.035889
3319,3256.727051
3321,3256.465332
3323,3256.445068
3325,3256.800049
3327,3257.665771
3329,3261.135254
3332,3271.380615
3334,3281.249268
3336,3293.219727
3338,3303.753418
3340,3315.110352
3342,3327.871826
3344,3337.960693
3347,3349.43457
3349,3357.411377
3351,3364.2229
3353,3368.20459
3355,3373.453857
3357,3379.151611
3359,3386.448486
3362,3397.598633
3364,3406.224365
3366,3414.445068
3368,3422.005371
3370,3428.380127
3372,3435.019043
3375,3444.076172
3377,3451.365723
3379,3459.873291
3381,3468.005371
3383,3475.615967
3385,3484.002686
3387,3487.641113
3390,3489.125488
3392,3482.532227
3394,3469.452393
3396,3450.220947
3398,3422.485107
3400,3391.853027
3402,3358.825684
3405,3307.556396
3407,3275.249023
3409,3246.643311
3411,3221.972656
3413,3200.892822
3415,3185.037598
3417,3174.084961
3420,3157.358887
3422,3153.399414
3424,3149.436035
3426,3151.585938
3428,3156.00708
3430,3166.22998
3433,3185.006592
3435,3199.984863
3437,3213.399658
3439,3226.209229
3441,3233.589111
3443,3239.255371
3445,3243.812256
3448,3250.7854
3450,3255.564209
3452,3261.510498
3454,3266.589844
3456,3272.375244
3458,3279.968262
3460,3287.675049
3463,3301.641846
3465,3312.847412
3467,3324.613281
3469,3336.800781
3471,3348.713135
3473,3360.938477
3476,3378.571533
3478,3389.638184
3480,3399.54126
3482,3406.962402
3484,3412.585449
3486,3416.219727
3488,3418.332764
3491,3417.519775
3493,3414.907227
3495,3410.17041
3497,3403.941895
3499,3395.922119
3501,3383.868408
3503,3372.130615
3506,3350.876221
3508,3334.953857
3510,3317.240723
3512,3298.091309
3514,3277.956055
3516,3257.605469
3518,3237.538818
3521,3211.042236
3523,3193.564941
3525,3177.888428
3527,3165.129395
3529,3153.063232
3531,3142.881836
3534,3130.913574
3536,3124.318604
3538,3119.475098
3540,3115.77002
3542,3114.411621
3544,3116.005371
3546,3119.03125
3549,3129.530762
3551,3140.143066
3553,3153.431396
3555,3169.915283
3557,3188.904053
3559,3209.240723
3561,3229.168701
3564,3260.559326
3566,3281.775391
3568,3304.664551
3570,3326.202393
3572,3345.383301
3574,3362.101563
3577,3387.574219
3579,3401.337158
3581,3411.180664
3583,3419.871826
3585,3424.792236
3587,3427.636475
3589,3429.109863
3592,3425.333252
3594,3421.804932
3596,3418.506592
3598,3414.660645
3600,3410.470459
3602,3406.85376
3604,3403.440918
3607,3398.320557
3609,3394.400879
3611,3389.064453
3613,3383.925537
3615,3378.701904
3617,3372.54834
3620,3364.205811
3622,3357.896729
3624,3352.033936
3626,3346.420166
3628,3339.887451
3630,3334.871826
3632,3329.017334
3635,3320.769775
3637,3315.265137
3639,3309.607178
3641,3304.176514
3643,3297.492676
3645,3292.601563
3647,3287.29541
3650,3280.781738
3652,3275.921875
3654,3271.25415
3656,3269.411621
3658,3267.455322
3660,3266.608643
3662,3265.898438
3665,3266.324951
3667,3267.308838
3669,3269.109131
3671,3270.985107
3673,3272.93042
3675,3274.602539
3678,3278.490723
3680,3280.997559
3682,3284.403076
3684,3287.577148
3686,3291.324951
3688,3295.568115
3690,3299.058838
3693,3305.054932
3695,3308.230713
3697,3312.394775
3699,3316.806396
3701,3321.703857
3703,3325.913086
3705,3330.220703
3708,3336.69751
3710,3339.875244
3712,3342.990723
3714,3346.397705
3716,3348.740723
3718,3348.748779
3721,3345.456543
3723,3340.53125
3725,3333.628906
3727,3325.572021
3729,3316.529541
3731,3307.352783
3733,3297.888428
3736,3285.452881
3738,3280.303467
3740,3276.753906
3742,3273.753418
3744,3272.867432
3746,3271.682617
3748,3270.935547
3751,3270.867432
3753,3270.59082
3755,3270.916992
3757,3270.962891
3759,3271.088135
3761,3272.255371
3763,3273.982178
3766,3276.258301
3768,3275.675293
3770,3275.342285
3772,3272.791992
3774,3269.077881
3776,3264.053711
3779,3253.269775
3781,3245.380371
3783,3236.138184
3785,3225.576416
3787,3214.940674
3789,3204.099854
3791,3193.525635
3794,3180.058594
3796,3173.05835
3798,3167.046631
3800,3162.932617
3802,3160.125488
3804,3157.79541
3806,3156.453857
3809,3157.170898
3811,3157.607178
3813,3157.818359
3815,3159.289307
3817,3161.317139
3819,3163.745117
3822,3167.990479
3824,3170.265137
3826,3173.13501
3828,3176.68042
3830,3181.993652
3832,3187.249756
3834,3195.658936
3837,3212.231689
3839,3226.796387
3841,3243.692627
3843,3263.430664
3845,3284.314941
3847,3306.425293
3849,3330.187988
3852,3370.999268
3854,3397.747559
3856,3425.509521
3858,3453.671875
3860,3481.39209
3862,3509.014404
3864,3534.390137
3867,3569.456299
3869,3590.031006
3871,3606.854004
3873,3622.435059
3875,3636.044678
3877,3646.632324
3880,3662.080078
3882,3670.007568
3884,3677.079346
3886,3684.129883
3888,3689.439453
3890,3693.627686
3892,3696.388184
3895,3698.630371
3897,3700.959473
3899,3702.935303
3901,3704.643066
3903,3705.581543
3905,3706.562012
3907,3707.351807
3910,3706.406982
3912,3704.708252
3914,3702.134277
3916,3697.098633
3918,3691.585205
3920,3684.123535
3923,3671.117188
3925,3662.706055
3927,3653.490234
3929,3643.560059
3931,3633.614258
3933,3623.717041
3935,3615.554688
3938,3606.041016
3940,3600.207764
3942,3593.959229
3944,3587.173096
3946,3580.823486
3948,3570.924805
3950,3560.717529
3953,3542.672852
3955,3529.718018
3957,3513.202393
3959,3497.72998
3961,3482.835449
3963,3467.655518
3966,3443.973145
3968,3428.480225
3970,3412.082275
3972,3396.294434
3974,3379.727051
3976,3362.474365
3978,3346.642822
3981,3321.324463
3983,3305.450439
3985,3290.709473
3987,3277.804443
3989,3265.906738
3991,3254.230469
3993,3243.225586
3996,3225.761719
3998,3214.918701
4000,3204.589844
4002,3193.129395
4004,3180.659668
4006,3167.875732
4008,3153.80957
4011,3129.189209
4013,3112.135742
4015,3094.831543
4017,3076.863525
4019,3059.663086
4021,3041.859619
4024,3014.900391
4026,2999.261475
4028,2983.763672
4030,2968.634766
4032,2954.599854
4034,2941.341309
4036,2929.26123
4039,2915.326904
4041,2906.919678
4043,2897.970215
4045,2892.491699
4047,2887.453613
4049,2884.741943
4051,2883.231689
4054,2884.621582
4056,2887.787598
4058,2894.761963
4060,2904.859863
4062,2918.793213
4064,2936.003662
4067,2970.165771
4069,2996.641113
4071,3024.526855
4073,3053.360596
4075,3084.035156
4077,3111.945068
4079,3138.751953
4082,3176.256592
4084,3198.932373
4086,3220.387451
4088,3238.948975
4090,3250.771729
4092,3260.985107
4094,3269.161621
4097,3277.217041
4099,3277.977295
4101,3279.849854
4103,3281.000244
4105,3287.007324
4107,3291.179688
4109,3299.414307
4112,3319.201416
4114,3338.466553
4116,3361.845947
4118,3388.459961
4120,3420.947021
4122,3456.306885
4125,3514.435547
4127,3552.453613
4129,3589.14209
4131,3621.553467
4133,3650.42041
4135,3675.229248
4137,3695.117676
4140,3720.148682
4142,3735.307373
4144,3748.048584
4146,3757.716064
4148,3764.354736
4150,3768.547607
4152,3771.039063
4155,3769.449463
4157,3769.087402
4159,3769.39209
4161,3769.397705
4163,3771.296143
4165,3774.09375
4168,3780.754395
4170,3785.949951
4172,3792.147217
4174,3798.589111
4176,3803.706055
4178,3809.619141
4180,3815.330078
4183,3821.217773
4185,3822.785156
4187,3820.939697
4189,3817.327393
4191,3810.514404
4193,3801.700195
4195,3792.432861
4198,3776.707275
4200,3766.258057
4202,3754.943848
4204,3744.703857
4206,3734.744141
4208,3724.772705
4210,3715.164307
4213,3695.503174
4215,3679.772949
4217,3661.785889
4219,3642.075928
4221,3619.27417
4223,3594.5896
4226,3554.112793
4228,3525.711182
4230,3496.984131
4232,3470.27002
4234,3443.81958
4236,3419.95459
4238,3394.745117
4241,3362.247559
4243,3343.152344
4245,3325.734619
4247,3308.227051
4249,3291.394775
4251,3275.777344
4253,3259.853516
4256,3238.929199
4258,3225.255615
4260,3212.773438
4262,3199.929199
4264,3188.218506
4266,3177.017578
4269,3159.003906
4271,3146.905273
4273,3134.277832
4275,3122.222168
4277,3110.499023
4279,3099.54126
4281,3090.15625
4284,3077.242432
4286,3070.397949
4288,3064.839844
4290,3058.923828
4292,3055.041504
4294,3052.387451
4296,3051.228271
4299,3052.445313
4301,3055.268799
4303,3059.783447
4305,3065.183838
4307,3071.139893
4309,3078.234375
4311,3085.60498
4314,3096.847656
4316,3105.154053
4318,3114.281006
4320,3124.827393
4322,3133.679932
4324,3143.019775
4327,3157.693848
4329,3167.843262
4331,3178.837402
4333,3188.303955
4335,3199.174072
4337,3211.109863
4339,3223.310059
4342,3246.52002
4344,3263.349365
4346,3280.520264
4348,3299.47876
4350,3319.311523
4352,3339.176025
4354,3360.382324
4357,3394.089111
4359,3416.946533
4361,3439.950195
4363,3459.686523
4365,3479.026855
4367,3498.800293
4370,3528.721436
4372,3547.555664
4374,3566.626953
4376,3585.842285
4378,3604.932617
4380,3625.14624
4382,3645.924072
4385,3676.470459
4387,3698.599609
4389,3720.182373
4391,3740.918945
4393,3762.536377
4395,3783.605225
4397,3803.202637
4400,3832.880371
4402,3848.74292
4404,3864.750244
4406,3878.98291
4408,3891.625488
4410,3900.804688
4413,3911.78833
4415,3918.20459
4417,3921.279053
4419,3921.502441
4421,3922.789307
4423,3921.647949
4425,3917.579102
4428,3910.23584
4430,3903.10376
4432,3893.514648
4434,3882.490479
4436,3871.426514
4438,3858.235352
4440,3842.895996
4443,3816.248047
4445,3797.540527
4447,3778.978271
4449,3760.57959
4451,3742.335938
4453,3724.996826
4455,3707.48291
4458,3682.262451
4460,3665.848145
4462,3650.771973
4464,3636.138916
4466,3621.570801
4468,3607.062012
4471,3587.656006
4473,3574.996094
4475,3562.132813
4477,3549.070801
4479,3535.679932
4481,3525.077393
4483,3513.786865
4486,3498.455322
4488,3488.962402
4490,3481.886963
4492,3477.088379
4494,3471.254639
4496,3467.931641
4498,3465.768066
4501,3461.647705
4503,3462.634277
4505,3460.615479
4507,3459.074219
4509,3455.349365
4511,3449.457031
4514,3438.606689
4516,3429.62793
4518,3420.74585
4520,3409.56665
4522,3397.149658
4524,3384.405518
4526,3370.026611
4529,3351.126953
4531,3339.425537
4533,3327.282227
4535,3315.460938
4537,3306.341064
4539,3296.860107
4541,3287.343994
4544,3272.651367
4546,3264.363281
4548,3256.805176
4550,3250.230469
4552,3245.32251
4554,3241.13501
4556,3237.646973
4559,3235.108643
4561,3235.814209
4563,3238.585693
4565,3242.448975
4567,3247.55542
4569,3253.972168
4572,3263.716064
4574,3270.08667
4576,3274.948975
4578,3277.260986
4580,3277.749512
4582,3275.655762
4584,3271.176514
4587,3260.718018
4589,3250.97583
4591,3242.622559
4593,3234.566895
4595,3228.911865
4597,3225.10498
4599,3223.772217
4602,3225.613037
4604,3228.406494
4606,3231.719238
4608,3233.799561
4610,3235.834717
4612,3236.34375
4615,3234.001709
4617,3232.268066
4619,3230.146484
4621,3228.083008
4623,3226.623535
4625,3226.149658
4627,3225.825439
4630,3229.839111
4632,3231.875732
4634,3235.90625
4636,3241.439453
4638,3247.327881
4640,3253.483643
4642,3260.75293
4645,3274.241455
4647,3284.98999
4649,3297.327637
4651,3308.894287
4653,3322.238037
4655,3335.908447
4657,3349.836914
4660,3373.347412
4662,3388.439697
4664,3404.155029
4666,3418.478027
4668,3432.89209
4670,3447.799072
4673,3469.991211
4675,3481.716553
4677,3492.156738
4679,3503.030273
4681,3512.924316
4683,3521.271484
4685,3527.737793
4688,3534.678467
4690,3537.134033
4692,3539.007813
4694,3538.144043
4696,3536.276123
4698,3531.654785
4700,3526.248535
4703,3515.009033
4705,3505.75415
4707,3496.338867
4709,3485.327148
4711,3473.862549
4713,3461.01709
4716,3440.898926
4718,3428.090088
4720,3414.927002
4722,3401.68457
4724,3387.306152
4726,3373.53125
4728,3360.10376
4731,3341.373291
4733,3327.460693
4735,3313.867676
4737,3299.993408
4739,3285.489014
4741,3269.263184
4743,3251.079834
4746,3221.305664
4748,3200.676758
4750,3180.720703
4752,3160.655029
4754,3143.095947
4756,3125.557373
4759,3102.737793
4761,3091.77124
4763,3081.522949
4765,3073.632813
4767,3068.313477
4769,3065.936279
4771,3065.633057
4774,3072.42334
4776,3079.416504
4778,3087.328857
4780,3095.266602
4782,3102.696289
4784,3110.709473
4786,3118.376465
4789,3130.452148
4791,3138.460938
4793,3147.640381
4795,3156.274902
4797,3164.743408
4799,3172.946289
4801,3182.705811
4804,3200.911865
4806,3214.749023
4808,3230.158691
4810,3247.23584
4812,3264.827393
4814,3284.03833
4817,3314.798828
4819,3335.506348
4821,3356.531738
4823,3378.245605
4825,3399.555664
4827,3421.17041
4829,3442.674805
4832,3475.628906
4834,3495.948486
4836,3514.36499
4838,3532.224609
4840,3551.227295
4842,3569.008057
4844,3584.198975
4847,3604.53125
4849,3616.23999
4851,3626.659424
4853,3636.215088
4855,3643.704834
4857,3649.625977
4860,3655.363037
4862,3656.881348
4864,3656.291992
4866,3656.48584
4868,3655.094971
4870,3652.571777
4872,3649.223145
4875,3643.585693
4877,3639.899658
4879,3635.980957
4881,3632.630859
4883,3627.796875
4885,3623.221191
4887,3618.068115
4890,3611.354004
4892,3606.743408
4894,3602.140625
4896,3597.286377
4898,3593.162598
4900,3588.584717
4902,3584.118408
4905,3577.526611
4907,3573.80835
4909,3570.447754
4911,3565.541016
4913,3561.630615
4915,3557.494141
4918,3552.130127
4920,3547.344971
4922,3543.005371
4924,3539.23877
4926,3536.317383
4928,3533.67334
4930,3532.329102
4933,3530.036377
4935,3528.470703
4937,3526.25708
4939,3521.782959
4941,3516.119141
4943,3508.300537
4945,3498.845703
4948,3479.569336
4950,3464.170898
4952,3449.383057
4954,3433.979492
4956,3420.85791
4958,3410.197021
4961,3398.000488
4963,3392.88501
4965,3389.398438
4967,3389.304688
4969,3388.863037
4971,3387.673096
4973,3385.395996
4976,3378.100342
4978,3371.10498
4980,3363.070801
4982,3355.27124
4984,3347.263916
4986,3339.737061
4988,3333.266602
4991,3324.824951
4993,3320.321533
4995,3316.183594
4997,3312.5271
4999,3309.197754
5001,3305.950684
5003,3303.070557
5006,3298.630127
5008,3294.232666
5010,3289.580078
5012,3288.607178
5014,3286.851807
5016,3287.905029
5019,3293.114014
5021,3298.794434
5023,3306.533447
5025,3315.031982
5027,3325.718262
5029,3337.027588
5031,3348.329102
5034,3364.008545
5036,3372.745605
5038,3380.402832
5040,3386.862549
5042,3392.321045
5044,3396.302002
5046,3401.211914
5049,3405.569336
5051,3408.772705
5053,3412.408203
5055,3416.033203
5057,3419.858887
5059,3422.906494
5062,3426.903809
5064,3429.111084
5066,3430.293701
5068,3430.408203
5070,3429.069824
5072,3426.323242
5074,3422.991943
5077,3417.167969
5079,3411.616699
5081,3406.584473
5083,3402.177734
5085,3398.7854
5087,3396.263428
5089,3394.033936
5092,3390.801514
5094,3388.434814
5096,3385.623047
5098,3381.664551
5100,3376.195313
5102,3371.046387
5105,3361.948975
5106,3358.578125
5107,3355.648438
5108,3351.788086
5109,3347.916016
5110,3344.834229
5111,3341.405518
5112,3338.055176
5113,3334.504395
5114,3330.797119
5115,3327.760986
5116,3324.282959
5117,3321.141357
5118,3318.022217
5119,3314.275391
5120,3310.680664
5121,3306.625
5122,3303.03833
5123,3299.469482
5124,3295.458496
5125,3291.558105
5126,3287.430176
5127,3283.053467
5128,3278.88208
5129,3274.77002
5130,3270.598877
5131,3265.918457
5132,3260.158447
5133,3256.084961
5134,3251.715088
5135,3247.66333
5136,3243.287842
5137,3238.841064
5138,3235.2771
5139,3231.387451
5140,3228.05249
5141,3224.97168
5142,3221.988281
5143,3219.506104
5144,3217.536377
5145,3215.685303
5146,3214.657715
5147,3213.385254
5148,3213.346436
5149,3212.796387
5150,3213.34375
5151,3214.054932
5152,3215.072021
5153,3216.61084
5154,3217.985596
5155,3219.978027
5156,3222.63208
5157,3226.686035
5158,3230.389404
5159,3234.77002
5160,3238.908203
5161,3242.107666
5162,3246.507324
5163,3252.313232
5164,3258.385986
5165,3265.458984
5166,3272.979004
5167,3280.513184
5168,3288.253662
5169,3296.390137
5170,3304.044922
5171,3312.507813
5172,3320.746826
5173,3329.492432
5174,3337.051025
5175,3343.887695
5176,3350.890137
5177,3357.005127
5178,3363.061523
5179,3369.173828
5180,3375.457764
5181,3380.517822
5182,3385.570557
5183,3391.305908
5184,3396.707275
5185,3401.915771
5186,3407.70874
5187,3414.551758
5188,3421.734619
5189,3427.619141
5190,3435.720703
5191,3444.801758
5192,3451.845703
5193,3461.497559
5194,3471.290527
5195,3479.356689
5196,3488.712402
5197,3497.597412
5198,3506.742676
5199,3515.575195
5200,3525.5979
5201,3534.932617
5202,3544.601318
5203,3551.947754
5204,3559.387695
5205,3566.370361
5206,3573.146484
5207,3579.998291
5208,3586.345459
5209,3591.762939
5210,3596.246826
5211,3601.620605
5212,3606.376709
5213,3610.985352
5214,3615.520752
5215,3619.008301
5216,3622.792969
5217,3626.045654
5218,3629.603027
5219,3632.626953
5220,3635.548828
5221,3637.878662
5222,3639.96167
5223,3642.060303
5224,3643.293701
5225,3644.48999
5226,3644.985107
5227,3645.318848
5228,3645.072021
5229,3644.121338
5230,3642.466797
5231,3640.566162
5232,3640.11499
5233,3638.53418
5234,3636.30127
5235,3634.666992
5236,3632.391846
5237,3629.928467
5238,3628.111328
5239,3625.969238
5240,3623.871094
5241,3622.251953
5242,3620.314941
5243,3618.206299
5244,3616.530518
5245,3613.847656
5246,3610.872803
5247,3608.434814
5248,3605.98877
5249,3603.65918
5250,3600.962402
5251,3597.884521
5252,3594.781006
5253,3591.497559
5254,3587.800293
5255,3584.317139
5256,3580.683105
5257,3576.626709
5258,3572.424805
5259,3568.083496
5260,3563.909424
5261,3559.325195
5262,3554.810791
5263,3550.79541
5264,3546.720215
5265,3542.192383
5266,3537.73291
5267,3533.339844
5268,3528.600098
5269,3524.021973
5270,3518.989258
5271,3513.610352
5272,3508.662598
5273,3503.700195
5274,3497.692383
5275,3491.240479
5276,3485.021729
5277,3477.945068
5278,3470.422607
5279,3463.230713
5280,3454.133301
5281,3446.293701
5282,3436.681641
5283,3425.961426
5284,3414.564697
5285,3404.750488
5286,3393.537109
5287,3381.502441
5288,3367.958496
5289,3355.03418
5290,3341.777832
5291,3329.222168
5292,3315.780029
5293,3302.471924
5294,3290.555176
5295,3277.080322
5296,3265.144287
5297,3254.285645
5298,3243.445557
5299,3233.036621
5300,3224.543945
5301,3215.994141
5302,3208.487549
5303,3200.581543
5304,3193.918701
5305,3188.411865
5306,3184.070801
5307,3179.173828
5308,3176.088623
5309,3173.177246
5310,3170.343018
5311,3168.487305
5312,3165.909424
5313,3163.667236
5314,3161.86499
5315,3161.472168
5316,3160.886719
5317,3160.306396
5318,3160.795166
5319,3161.352783
5320,3162.549316
5321,3162.54541
5322,3164.378418
5323,3166.270264
5324,3168.392578
5325,3171.367188
5326,3174.624512
5327,3179.005615
5328,3183.556885
5329,3188.433105
5330,3192.509766
5331,3196.731689
5332,3201.178223
5333,3205.963623
5334,3210.522461
5335,3214.530273
5336,3218.85376
5337,3223.027344
5338,3227.362549
5339,3231.06543
5340,3234.452637
5341,3237.557373
5342,3240.83252
5343,3244.361816
5344,3247.380371
5345,3249.835205
5346,3252.845947
5347,3255.749268
5348,3257.992676
5349,3260.522217
5350,3262.668945
5351,3265.626953
5352,3268.158936
5353,3270.726074
5354,3273.534668
5355,3275.789795
5356,3278.669189
